1959           .                  .           .            .
1960           .                  .       58085            .
1961           .                  .       75494            .
1962           .                  .       59123            .
1963           .                  .       48652            . 
1964           .                  .       76973            . 
1965           .                  .       83615            . 
1966           .                  .       48385            . 
1967           .                  .       41175            . 
1968           .                  .       39619            . 
1969           .                  .       36089            . 
1970           .                  .       23484            . 
1971           .                  .       28564            . 
1972           .                  .       32963            . 
1973           .                  .       28009            . 
1974           .                  .       31117            . 
1975           .                  .       26426            . 
1976           .                  .       37236            . 
1977           .                  .       48319            . 
1978           .                  .       45367            . 
1979           .                  .       26355            . 
1980           .                  .       22102            . 
1981           .                  .       10876            . 
1982           .                  .        4991            . 
1983           .                  .       14153            . 
1984           .                  .       35179            . 
1985           .               .      11486            .
1986           .                  .        7923            .
1987       31013                  8       14924           0.46
1988       30277                  3       15009           0.677
1989       16929                 21       10374           0.674
1990       61258                  7       33856           0.67
1991       29936                 28       19281           1.42
1992       71753                 28       37281           0.93
1993       96624                 18       40087           0.63
1994       77444                 19       34547           0.58
