      1982 278212       81 43082   0.1881
      1983 286026       68 48416   0.1768
      1984 267344       82 36675   0.1699
      1985 265372       57 30462   0.1346
      1986 292985       41 50134   0.2552
      1987 252305       30 41542   0.2548
      1988 194086       39 30068   0.1174
      1989 188016       65 23439   0.2359
      1990 168811       30 21035   0.1843
      1991 162837       24 22350   0.3297
      1992 155773       19 17187   0.5138
      1993 141043       13 14655   0.4833
      1994 125191       24 12153    0.375
      1995 110322       14 10601   0.4045

