1957           .                .           0.2           .
1958           .                .            .            .
1959           .                .          69.3           .
1960           .                .          30.7           .
1961           .                .          28.6           .
1962           .                .          14.7           .
1963           .                .         137.8           .
1964           .                .          61.4           .
1965           .                .          43.2           .
1966           .                .          53.0           .
1967           .                .         182.6           .
1968           .                .         451.8           . 
1969           .                .         113.5           . 
1970           .                .         238.0           . 
1971           .                .         305.3           . 
1972           .                .         444.8           . 
1973           .                .         345.9           . 
1974 171 176 735 1.84
1975 208 212 559 1.21
1976 200 198 435 1.20
1977 242 102 390 0.83
1978 241 201 270 0.91
1979 198  233 320 1.01
1980 332  61 471 1.23
1981 278 306 236 0.78
1982 174 238 359 1.02
1983 372 154 423 0.79
1984 377  79 355 1.20
1985 181  57 196 1.07
1986  95 116 174 0.99
1987 105  32 147 0.78
1988 150  91 102 0.53
1989  99 100 167 0.63
1990 149  96 139 0.62
1991 174 165 155 0.54
1992 220  84 255 0.60
1993 270  93 174 0.61
1994 184   . 172 0.52
