1958        .         .        171      .
1959        .         .       2864      .
1960        .         .        .        .
1961        .         .        .        .
1962        .         .        .        .
1963        .         .        .        .
1964        .         .      13408      .
1965        .         .      14719      .
1966        .         .      18200      .
1967        .         .      32064      .
1968        .         .      57902      .
1969        .         .      50351      .
1970        .         .      70094      .
1971        .         .      43054      .
1972        .         .      42095      .
1973        .         .      53386      .
1974        .         .      62462      .
1975        .         .      51551      .
1976        .        169     50481      .
1977        .        624     33335      .
1978        .        196     42543      .
1979       155       114     33761      .
1980       262        69     45861      .
1981       415         4     51996      .
1982       590       271     55040      .
1983       743         9     83212      .
1984       852       167    110944      .
1985       892       110    132736      .
1986       857        38    130555      .
1987       795        24    144539      .
1988       766        20    192726      .
1989       717         .    164800      .
1990       718         .    162927      .
1991       687         .    149537      .
