1906           .                .       51000            .
1907           .                .       59000            .
1908           .                .       54000            .
1909           .                .       55000            .
1910           .                .       53000            .
1911           .                .       57000            .
1912           .                .       58000            .
1913           .                .       55000            .
1914           .                .       46000            .
1915           .                .       30000            .
1916           .                .       27000            .
1917           .                .       26500            .
1918           .                .       44000            .
1919           .                .       56000            .
1920           .                .       61000            .
1921           .                .       47000            .
1922           .                .       54000            .
1923           .                .       46000            .
1924           .                .       50000            .
1925           .                .       62000            .
1926           .                .       62500            .
1927           .                .       62300            .
1928           .                .       69000            .
1929           .                .       72000            .
1930           .                .       65000            .
1931           .                .       57000            .
1932           .                .       55000            .
1933           .                .       59000            .
1934           .                .       56000            .
1935           .                .       52000            .
1936           .                .       52000            .
1937           .                .       52000            .
1938           .                .       50000            .
1939           .                .       25000            .
1940           .                .       30000            .
1941           .                .       49000            .
1942           .                .       66000            .
1943           .                .       44000            .
1944           .                .       51000            .
1945           .                .      106500            .
1946           .                .       88000            .
1947           .                .       90000            .
1948           .                .       87000            .
1949           .                .       73000            .
1950           .                .       70000            .
1951           .                .       74000            .
1952           .                .       83000            .
1953           .                .       68000            .
1954           .                .       65000            .
1955           .                .       63000            .
1956           .                .       67000            .
1957           .                .       71000            .
1958           .                .       77000            .
1959           .                .       84000            .
1960          48               57       83000           0.42 
1961          49               78       85000           0.46 
1962          47              201      106000           0.32 
1963          59              150      108000           0.34 
1964          65              193       95000           0.37 
1965          80              159       97000           0.34 
1966          90              431      107000           0.255 
1967         150              410      109000           0.26 
1968         200              461      120000           0.2 
1969         229              231      126000           0.255 
1970         267              225      222000           0.364 
1971         374              238      253000           0.291 
1972         410              267      246000           0.360 
1973         451              636      226000           0.328 
1974         465              196      273000           0.429 
1975         400              139      278000           0.404 
1976         269              126      320000           0.690 
1977         210              104      196000           0.627 
1978         195              266      135000           0.472 
1979         189              163      114000           0.398 
1980         185              194      120000           0.461 
1981         192              320      123000           0.308 
1982         161              465      166000           0.479 
1983         171              388      169000           0.589 
1984         138              150      198000           0.738 
1985         106              173      200000           0.810
1986         100               85      164000           0.929    
1987         102              168      149000           0.676   
1988         108              199      105000           0.669  
1989          89              146       92000           0.754 
1990          78              262       88000           0.649
1991          78              136       96000           0.734
1992          84              160       .               .
1993          95                .    .               .
1994          99                .    .               .
