1952           .             .          266            .
1953           .             .          249            .
1954           .             .          254            .
1955           .             .          223            .
1956           .             .          255            .
1957           .             .          347            .
1958           .             .          317            .
1959           .             .          296            . 
1960           .             .          401            . 
1961           .             .          430            . 
1962           .             .          414            . 
1963           .             .          365            . 
1964           .             .          421            . 
1965           .             .          374            . 
1966           .             .          332            . 
1967           .             .          455            . 
1968           .             .          317            . 
1969           .             .          268            . 
1970           .             .          183            . 
1971           .             .          283            . 
1972           .             .          370            . 
1973           .             .          325            .
1974           .             .          436            .  
1975           .             .          468            .
1976           .             .          435            .
1977           .             .          513            .
1978           .             .          495            .
1979           .             .          373            . 
1980           .             .          324            .
1981           .             .          282            . 
1982           .         2903          212            . 
1983           .         5991           276            . 
1984          838        4879           337           0.375
1985         1079         4896          397           0.235
1986         1715       3413            643           0.393
1987         1847       5733            722           0.457
1988         1853       7012            706           0.38
1989         1950            .          824           0.33
1990         2373            .          629           0.4661 
