1930           .                   .         43000            .
1931           .                   .         44000            .
1932           .                   .         50000            .
1933           .                   .         43000            .
1934           .                   .         44000            .
1935           .                   .         51000            .
1936           .                   .         40000            .
1937           .                   .         39000            .
1938           .                   .         43500            .
1939           .                   .           .              .
1940           .                   .           .              .
1941           .                   .           .              .
1942           .                   .           .              .
1943           .                   .           .              .
1944           .                   .           .              .
1945           .                   .           .              .
1946           .                   .           .              .
1947           .                   .           .              .
1948           .                   .           .              .
1949           .                   .           .              .
1950           .                   .           .              .
1951           .                   .           .              .
1952           .                   .           .              .
1953           .                   .           .              .
1954           .                   .           .              .
1955           .                   .           .              .
1956           .                   .           .              .
1957           .                   .           .              .
1958           .                   .           .              .
1959           .                   .           .              .
1960           .                 28787      181000            . 
1961           .                 52905      325000            . 
1962           .                 58897      221000            . 
1963           .                 13167      257000            . 
1964           .                 25550      147000            . 
1965         505                 22059      185000           0.710 
1966         490                 41629      240000           1.440 
1967         298                111833      234000           0.614 
1968         421                 13065      261000           0.727 
1969         589                 24820      324000           0.409 
1970         353                 39766      268000           0.606 
1971         220                 68557      193044           0.411 
1972         269                 90667      188000           0.578 
1973         381                 44711      266000           0.671 
1974         441                 92401      290000           0.581 
1975         453                 57430      300000           0.838 
1976         581                 55824      361000           0.640 
1977         547                 56804      342000           0.565 
1978         404                 58844      178000           0.604 
1979         465                 53917      233000           0.595 
1980         474                 20633      212000           0.651 
1981         444                 23619      181000           0.649 
1982         341                 20695      129000           0.491 
1983         303                 32418      151000           0.561 
1984         247                 23254      135000           0.743 
1985         242                 47131       97000           0.735 
1986         263                 38984      154000           0.736 
1987         273                 26333      132000           0.939    
1988         267                 46065      127000           0.711      
1989         243                 38134      118000           0.593
1990         264                 45240      147000           0.538
1991         291                 43856      117000           0.789

 
